P_ID,Step,train_acc_task,train_acc_person,test_acc_task,testing_AE,testing_t,training_cost_total,training_cost_AE,training_cost_t,training_cost_p
0,5,0.758,0.2563846,0.848,0.27593485,4.434872,10.899641,0.27466097,5.431782,2.1348143
0,10,0.79546154,0.31846154,0.828,0.23603052,4.4397554,10.250572,0.2334586,5.104541,1.9504333
0,15,0.80853844,0.36815384,0.797,0.20444459,4.804734,9.616837,0.20072865,4.7644897,1.7860662
0,20,0.8119231,0.40792307,0.79,0.17933865,4.935851,9.129209,0.17477928,4.5069036,1.6764377
0,25,0.82015383,0.44476923,0.781,0.15958863,5.2661104,8.847722,0.15422341,4.4662094,1.5467359
0,30,0.8294615,0.48315385,0.732,0.14433621,5.473709,8.226713,0.13826782,4.0420194,1.4518256
0,35,0.83453846,0.521,0.71,0.13251376,5.761991,8.03992,0.12593822,4.0637374,1.3370287
0,40,0.84115386,0.55153847,0.713,0.1231607,6.080096,7.900716,0.11620911,4.1185274,1.2296953
0,45,0.8460769,0.5844615,0.699,0.11572426,6.301881,7.4019017,0.10849959,3.7915156,1.1383244
0,50,0.85284615,0.6100769,0.67,0.1095377,6.5859404,7.3151903,0.10209981,3.8419647,1.0761975
0,55,0.85823077,0.6292308,0.657,0.10426032,6.8507023,6.9278865,0.09662751,3.5947642,1.0062635
0,60,0.8626154,0.6549231,0.666,0.09943692,7.105653,6.6576333,0.0917769,3.4645133,0.9316623
0,65,0.86753845,0.68015385,0.664,0.09503929,7.0594616,6.4123344,0.08739814,3.3260896,0.8863418
0,70,0.87246156,0.7051538,0.64,0.09098839,7.2252917,6.483865,0.0833243,3.4855886,0.85630053
0,75,0.8703077,0.72046155,0.648,0.08710536,7.4535294,6.198232,0.07951118,3.3120422,0.79858816
0,80,0.8783846,0.73253846,0.626,0.08346333,7.4677258,5.9147463,0.07588085,3.1164324,0.7620085
0,85,0.87646157,0.75,0.648,0.079995595,7.3959785,5.868699,0.072473876,3.1694067,0.7111607
0,90,0.88484615,0.7630769,0.642,0.07668017,7.711953,5.5424733,0.06930907,2.920907,0.67891115
0,95,0.88415384,0.77930766,0.646,0.07354504,7.555479,5.4198117,0.06621656,2.8655949,0.6545587
0,100,0.8906154,0.7906154,0.642,0.07060557,7.852133,5.258768,0.06343108,2.7814417,0.61814606
0,105,0.8910769,0.8039231,0.622,0.06774114,7.6910963,5.3299417,0.060741644,2.8974617,0.6115687
0,110,0.8956154,0.8116154,0.647,0.06510063,7.9828644,5.0886602,0.058190107,2.7285984,0.57539636
0,115,0.89715385,0.81892306,0.642,0.06258346,7.9257483,4.9999084,0.055810466,2.7008245,0.5485613
0,120,0.89930767,0.8236154,0.658,0.060294002,7.9379387,4.9634213,0.053644273,2.699716,0.5451858
0,125,0.89953846,0.8360769,0.646,0.05814819,7.790663,4.812416,0.05155597,2.609379,0.5147177
0,130,0.9017692,0.8481538,0.641,0.056212574,8.117265,4.6939216,0.049699415,2.5343728,0.49964246
0,135,0.904,0.85261536,0.651,0.054351233,8.133386,4.5021725,0.047975816,2.3895307,0.47924554
0,140,0.9060769,0.8556154,0.647,0.052640997,8.339778,4.476514,0.046323404,2.404098,0.4641715
0,145,0.9057692,0.8647692,0.635,0.051115297,8.526901,4.5269465,0.04490929,2.4854884,0.4566455
0,150,0.9096154,0.86661536,0.646,0.049693618,8.1536045,4.276124,0.043544922,2.279394,0.4340551
0,155,0.91092306,0.8733846,0.664,0.048374303,8.235029,4.3635488,0.042257406,2.3977873,0.42354113
0,160,0.9136154,0.8795385,0.667,0.04720904,8.439221,4.1086392,0.04111735,2.1825495,0.403207
0,165,0.9136154,0.88392305,0.664,0.04609745,8.066995,4.0721517,0.04005739,2.1671572,0.40046045
0,170,0.9136154,0.88653845,0.645,0.045074333,8.586445,4.0598164,0.039111596,2.194141,0.37808895
0,175,0.91546154,0.89153844,0.647,0.044177283,9.207566,4.0365114,0.038251884,2.178822,0.3859515
0,180,0.9197692,0.8943077,0.644,0.043386947,8.797066,3.9732864,0.037461847,2.1482112,0.36827415
0,185,0.91853845,0.9001539,0.638,0.042635716,9.208292,3.7920163,0.03671013,2.012948,0.33620036
0,190,0.9230769,0.90376925,0.636,0.041957244,9.38333,3.7557056,0.03604401,1.9910216,0.3348099
0,195,0.9214615,0.90523076,0.638,0.04132196,9.068065,3.6387856,0.0354261,1.8838172,0.3372163
0,200,0.92207694,0.90884614,0.632,0.040769715,9.924661,3.6389365,0.034795035,1.9120485,0.32050127
0,205,0.9263846,0.9131538,0.621,0.040211163,9.446426,3.7324903,0.034315117,2.016954,0.31964657
0,210,0.9286923,0.9156923,0.626,0.039756518,10.023742,3.619119,0.033817053,1.9291534,0.30394042
