P_ID,Step,train_acc_task,train_acc_person,test_acc_task,testing_AE,testing_t,training_cost_total,training_cost_AE,training_cost_t,training_cost_p
0,5,0.7447692,0.14969231,0.848,0.25947636,4.5293,11.439783,0.25020167,5.27204,2.471347
0,10,0.78307694,0.16846153,0.834,0.22473396,4.564544,10.793173,0.21623689,4.9529853,2.3910553
0,15,0.80161536,0.22561538,0.805,0.19741501,4.848448,10.154041,0.18944381,4.6013684,2.338217
0,20,0.80938464,0.26823077,0.803,0.17503637,4.8154297,9.700928,0.16731355,4.426293,2.2767425
0,25,0.8154615,0.32184616,0.8,0.15597425,4.8723373,9.364219,0.14863698,4.352898,2.2085898
0,30,0.82292306,0.37492308,0.788,0.13992938,4.8829703,8.859187,0.13284074,4.0847073,2.146315
0,35,0.82984614,0.4126923,0.806,0.12634605,4.698867,8.457007,0.11944613,3.909882,2.0739255
0,40,0.8326923,0.44553846,0.796,0.11478375,4.7906394,8.213978,0.10813583,3.8751493,2.0023577
0,45,0.84238464,0.466,0.793,0.10493261,4.753154,7.8311763,0.09842112,3.6629128,1.9502603
0,50,0.84953845,0.4866154,0.796,0.09655765,4.7193584,7.618323,0.09010079,3.607996,1.8955672
0,55,0.8548462,0.50153846,0.798,0.08932507,4.679766,7.320629,0.08294811,3.4401488,1.8550482
0,60,0.86346155,0.51815385,0.795,0.08306065,4.770783,6.9331694,0.07669029,3.1807418,1.8039727
0,65,0.8696154,0.52476925,0.795,0.077747345,4.833972,6.8060446,0.07137617,3.158691,1.7666174
0,70,0.8746154,0.54,0.803,0.073110744,4.7036123,6.5191026,0.06678684,2.9668927,1.7312504
0,75,0.8786923,0.549,0.792,0.06919938,4.7310705,6.4216347,0.06277244,2.938155,1.7137672
0,80,0.8835385,0.5526154,0.803,0.065787025,4.865329,6.295387,0.059346497,2.8911996,1.6798439
0,85,0.88676924,0.55776924,0.792,0.06282913,4.826347,6.1221766,0.056455784,2.785494,1.6525588
0,90,0.8894615,0.5709231,0.795,0.0603791,4.9597363,5.8584337,0.053839333,2.582181,1.6272908
0,95,0.89176923,0.58,0.792,0.058201738,5.0695877,5.6834044,0.051635724,2.4703045,1.5952822
0,100,0.89476925,0.5823846,0.798,0.056351468,5.105234,5.614269,0.04973544,2.4478998,1.5761621
0,105,0.8986923,0.58946157,0.808,0.05466025,4.8181396,5.513224,0.04807429,2.39703,1.5507643
0,110,0.9033077,0.6022308,0.808,0.053264335,5.21968,5.4740033,0.046640124,2.3989587,1.531507
0,115,0.90384614,0.6067692,0.798,0.052077487,5.532062,5.235481,0.045337565,2.2171524,1.4937015
0,120,0.90623075,0.6139231,0.804,0.051025283,5.3506985,5.1309977,0.044351857,2.1408584,1.4818658
0,125,0.90876925,0.62369233,0.796,0.050077323,5.3632917,5.0124335,0.043375358,2.0751214,1.4445571
0,130,0.9116154,0.63223076,0.798,0.04920379,5.3470173,4.9638968,0.04249299,2.0598903,1.4249927
0,135,0.9156154,0.63461536,0.799,0.04843762,5.684714,4.8824615,0.04172712,2.0225036,1.3932242
0,140,0.91446155,0.6486923,0.787,0.047697663,5.5212097,4.8210707,0.04095798,1.9767855,1.3885459
0,145,0.9182308,0.64976925,0.791,0.047058534,5.52425,4.6684294,0.040360518,1.8674356,1.3551689
0,150,0.92,0.65807694,0.796,0.046420857,5.7896657,4.730708,0.039714757,1.9576396,1.3365002
0,155,0.923,0.6672308,0.799,0.04585528,5.601658,4.5801964,0.03917344,1.8378192,1.3147156
0,160,0.92323077,0.6793846,0.787,0.045283042,5.639513,4.471503,0.03862231,1.7494581,1.3031446
0,165,0.9255385,0.68107694,0.801,0.04470732,5.835638,4.4473324,0.0380522,1.7583227,1.2779697
0,170,0.92592305,0.6883846,0.811,0.0442302,5.8950605,4.3866663,0.037600014,1.7280625,1.254638
0,175,0.9238461,0.6993077,0.782,0.043726128,5.9939284,4.1756787,0.037090495,1.546983,1.2312405
0,180,0.9297692,0.7089231,0.78,0.0432337,5.9273415,4.174874,0.036640417,1.5698202,1.2140347
0,185,0.92661536,0.70792305,0.791,0.042763602,5.9299126,4.2964807,0.03618223,1.7218024,1.1895839
0,190,0.93015385,0.719,0.78,0.042300448,6.106041,4.143306,0.035734937,1.5845774,1.1792004
0,195,0.93392307,0.72638464,0.78,0.041850276,6.1926723,4.0677595,0.035360523,1.533133,1.1599531
0,200,0.93538463,0.73776925,0.789,0.0413949,6.003538,4.18688,0.034914866,1.6774021,1.1398965
0,205,0.9353077,0.7426154,0.788,0.040911622,6.2611666,4.032566,0.034501486,1.5505087,1.117072
0,210,0.9373846,0.74815387,0.782,0.04053076,6.3781786,3.861033,0.034078315,1.3988678,1.1017795
0,215,0.9383846,0.7561538,0.776,0.040077906,6.1834946,3.9519737,0.033660855,1.5117157,1.0841932
0,220,0.9403077,0.76030767,0.783,0.039628543,6.048374,3.8093014,0.033310227,1.3756156,1.0817833
0,225,0.94146156,0.76838464,0.786,0.039211202,6.1178517,3.8234735,0.03290065,1.4179128,1.0575081
0,230,0.9421539,0.7727692,0.786,0.03878346,6.0632114,3.7149541,0.032534987,1.3243015,1.046185
0,235,0.9420769,0.7767692,0.782,0.03837964,6.251601,3.6822498,0.032165572,1.3123049,1.0288218
0,240,0.9433077,0.7846154,0.781,0.037978545,6.405204,3.727478,0.03182891,1.3699741,1.0195025
0,245,0.94676924,0.79207695,0.782,0.037571885,6.2135305,3.7420325,0.031460576,1.3979177,1.0091333
0,250,0.9453077,0.797,0.786,0.037167665,6.3552313,3.6604273,0.03108412,1.3242474,1.0042092
1,5,0.76484615,0.229,0.6,0.36355674,6.519104,11.154797,0.36577,4.994664,2.3497484
1,10,0.8083846,0.35246155,0.636,0.3158011,6.333872,10.359283,0.31782794,4.598447,2.1903028
1,15,0.818,0.39515385,0.664,0.27460343,5.9186354,9.877667,0.27660972,4.4446855,2.0974185
1,20,0.8227692,0.41307694,0.682,0.2392747,6.0427017,9.5177,0.24131769,4.3695016,2.0345156
1,25,0.82176924,0.4293077,0.698,0.20888633,5.776026,9.036663,0.21098214,4.1528497,1.9732914
1,30,0.8289231,0.4446923,0.704,0.18285659,6.0053873,8.80133,0.18508685,4.1526074,1.9201815
1,35,0.83223075,0.4599231,0.721,0.16043948,5.7450438,8.426153,0.1628029,3.988019,1.871062
1,40,0.83930767,0.46992308,0.732,0.1414587,5.3366303,8.19403,0.14394917,3.9462993,1.8234409
1,45,0.84692305,0.4879231,0.721,0.12540169,5.330866,7.7309246,0.12808679,3.6600466,1.7728633
1,50,0.8556923,0.50553846,0.721,0.11178123,5.3620872,7.381932,0.11473359,3.4566946,1.7372204
1,55,0.8638462,0.51530766,0.731,0.10018832,5.6122627,7.1883426,0.10326372,3.3979466,1.6965241
1,60,0.86776924,0.5386923,0.722,0.09028933,5.7771397,6.947016,0.09358574,3.2754245,1.6593935
1,65,0.8714615,0.548,0.736,0.08183893,5.9495425,6.7264214,0.085349,3.155584,1.6311055
1,70,0.8783846,0.55938464,0.717,0.074582726,5.9372015,6.52331,0.07824758,3.0502524,1.5977597
1,75,0.88007694,0.57453847,0.717,0.06834174,6.425653,6.4049554,0.07219362,3.016114,1.5705533
1,80,0.8799231,0.5846923,0.717,0.06304029,6.2138553,6.225878,0.0671435,2.92177,1.5362599
1,85,0.88515383,0.5906923,0.702,0.058640253,6.5187097,6.054534,0.062835924,2.823203,1.5085537
1,90,0.8863077,0.5999231,0.73,0.054838467,6.1848173,5.8789344,0.05913566,2.7172575,1.4789183
1,95,0.88792306,0.6126154,0.713,0.051644497,6.385852,5.8521123,0.056058846,2.750044,1.4550459
1,100,0.8903846,0.61823076,0.719,0.048954543,6.657719,5.6714163,0.053463515,2.6353016,1.4210159
1,105,0.8936923,0.62823075,0.731,0.046697367,6.963454,5.534495,0.051204078,2.5456414,1.4021435
1,110,0.89223075,0.63346153,0.715,0.044675253,6.9078045,5.3766785,0.049349815,2.4473915,1.368047
1,115,0.89453846,0.63976926,0.699,0.042964593,7.520218,5.2300773,0.04769867,2.3448405,1.3474811
1,120,0.8935385,0.64653844,0.701,0.041500226,7.4319353,5.2252703,0.046258695,2.3836102,1.3245567
1,125,0.89976925,0.657,0.702,0.040221833,7.7366323,5.161419,0.04504713,2.369958,1.2922997
1,130,0.9013077,0.6631538,0.703,0.039122455,7.9151154,5.083892,0.043958593,2.325846,1.2752941
1,135,0.89930767,0.67353845,0.719,0.03806892,8.409343,5.0388536,0.042861372,2.320342,1.250667
1,140,0.9051539,0.6828461,0.716,0.037201717,8.2015915,4.948755,0.042074457,2.260966,1.233006
1,145,0.90476924,0.6943077,0.709,0.036373165,8.419092,4.941689,0.04132759,2.2937078,1.2050316
1,150,0.9066154,0.7016154,0.71,0.035665378,8.343672,4.8607593,0.040505476,2.2374792,1.1906346
1,155,0.90807694,0.70915383,0.683,0.03502623,8.734978,4.7496185,0.039886896,2.1578746,1.1681103
1,160,0.91115385,0.72184616,0.713,0.034396168,8.577496,4.5083714,0.039235987,1.9556814,1.1372054
1,165,0.9116154,0.734,0.7,0.033866562,8.547159,4.7163134,0.03876944,2.192287,1.1160026
1,170,0.91138464,0.7433846,0.689,0.03333363,8.888122,4.399276,0.03823088,1.8973167,1.1008321
1,175,0.91253847,0.7561538,0.699,0.03287495,8.97849,4.545914,0.03769998,2.062411,1.0887768
1,180,0.91384614,0.76453847,0.693,0.032406673,9.176913,4.3974395,0.03725143,1.9486529,1.0598232
1,185,0.917,0.7693846,0.7,0.031985298,9.291352,4.506591,0.036728688,2.0838947,1.0391968
1,190,0.9156923,0.77446157,0.693,0.03157225,9.966617,4.380212,0.036439277,1.979815,1.0221264
1,195,0.9196154,0.7820769,0.714,0.031200513,9.59261,4.2371335,0.035934813,1.8557248,1.0086586
1,200,0.9167692,0.781,0.696,0.030842844,9.847547,4.3304873,0.03552223,1.9709144,0.99235356
1,205,0.92276925,0.7898462,0.685,0.030481126,9.537788,4.1919184,0.035101194,1.84868,0.98096514
1,210,0.92115384,0.7900769,0.68,0.030105576,9.965068,4.155896,0.034802258,1.8431811,0.9549106
1,215,0.92138463,0.7943846,0.675,0.029790249,10.599338,4.1520166,0.03441881,1.8613224,0.93699026
1,220,0.92453843,0.80046153,0.688,0.029429933,10.389896,4.0542226,0.03412036,1.777992,0.92649096
